transaction_id,TransactionType,Amount,TransactionDate_ID
1,withdrawal,102.15,1212
2,withdrawal,358.8,165
4,deposit,463.13,246
5,withdrawal,21.94,915
8,withdrawal,256.62,873
9,deposit,272.21,1243
10,withdrawal,498.95,539
11,withdrawal,369.25,1033
12,withdrawal,295.89,641
13,deposit,344.01,1160
14,withdrawal,268.86,1296
15,deposit,452.34,61
16,withdrawal,416.56,1188
18,withdrawal,355.49,851
19,withdrawal,56.89,465
20,withdrawal,40.97,842
21,deposit,150.47,64
22,deposit,68.11,867
23,withdrawal,125.53,391
24,withdrawal,168.54,258
25,withdrawal,236.09,315
26,deposit,297.99,1217
27,deposit,147.5,18
29,withdrawal,351.38,870
30,deposit,403.71,1414
31,deposit,358.37,973
32,deposit,140.67,1043
33,deposit,268.39,1138
34,deposit,93.16,259
35,withdrawal,384.83,1483
37,deposit,30.0,1151
38,deposit,494.22,1006
39,withdrawal,465.1,537
41,withdrawal,105.12,1064
42,withdrawal,412.17,1052
43,withdrawal,328.65,321
44,deposit,448.75,670
45,withdrawal,36.85,644
46,deposit,430.92,1351
47,withdrawal,167.84,62
48,withdrawal,387.49,1158
50,deposit,227.4,1446
51,withdrawal,370.16,320
53,withdrawal,50.99,529
54,withdrawal,426.91,819
55,withdrawal,86.29,1091
56,withdrawal,193.12,1121
57,deposit,271.18,407
58,withdrawal,337.93,296
59,withdrawal,46.76,1484
60,withdrawal,299.22,1217
62,deposit,309.22,1166
63,withdrawal,381.28,328
64,withdrawal,356.54,502
65,withdrawal,309.74,773
67,deposit,298.4,959
68,withdrawal,132.43,710
69,deposit,490.26,1269
70,withdrawal,136.12,613
71,deposit,67.63,72
72,withdrawal,333.17,1186
74,withdrawal,381.9,1466
75,withdrawal,363.18,777
76,deposit,364.14,1001
77,withdrawal,287.91,133
78,deposit,57.33,989
80,withdrawal,54.48,84
82,withdrawal,61.79,1300
83,withdrawal,192.54,314
84,withdrawal,418.3,1348
85,withdrawal,112.4,4
86,deposit,259.17,1137
87,deposit,188.5,1139
90,withdrawal,257.1,997
91,deposit,26.44,272
93,withdrawal,53.02,1413
95,withdrawal,308.31,644
96,deposit,278.13,318
97,withdrawal,274.08,911
98,withdrawal,296.84,865
100,withdrawal,41.78,1351
101,deposit,427.57,91
102,deposit,468.81,1088
103,deposit,330.91,1494
106,deposit,132.69,663
107,withdrawal,70.81,1350
108,withdrawal,157.92,1413
109,withdrawal,276.47,903
110,withdrawal,284.4,504
111,withdrawal,346.07,878
112,withdrawal,428.25,863
113,withdrawal,424.12,129
116,withdrawal,466.19,885
117,withdrawal,446.0,183
118,deposit,358.7,1100
119,withdrawal,119.2,632
120,withdrawal,486.72,444
121,deposit,197.43,156
122,deposit,252.67,607
123,withdrawal,75.93,1431
124,withdrawal,403.69,757
125,withdrawal,422.41,990
126,withdrawal,29.89,532
127,withdrawal,117.45,1447
129,deposit,112.77,647
130,deposit,67.73,448
131,withdrawal,274.29,1487
132,deposit,83.27,1494
133,withdrawal,91.19,1326
134,withdrawal,23.42,156
137,deposit,179.2,783
139,deposit,209.07,560
141,deposit,98.53,1221
142,deposit,443.67,30
143,deposit,168.12,723
144,deposit,102.23,266
145,deposit,240.81,265
146,deposit,105.76,1482
147,deposit,142.73,503
148,deposit,346.25,594
149,withdrawal,125.33,1454
150,withdrawal,333.96,244
151,deposit,68.9,1122
152,withdrawal,245.42,605
154,withdrawal,408.34,1323
155,deposit,144.21,1287
157,withdrawal,390.13,1049
158,deposit,90.2,1373
159,withdrawal,28.16,1174
162,deposit,25.87,96
163,deposit,21.89,851
164,withdrawal,456.83,1408
165,withdrawal,343.52,1071
166,withdrawal,446.81,1114
167,withdrawal,28.79,488
168,deposit,184.23,76
169,withdrawal,479.09,2
170,withdrawal,352.98,631
171,deposit,287.92,47
172,withdrawal,259.8,112
173,withdrawal,259.35,1220
174,deposit,405.6,1088
175,deposit,286.83,996
176,deposit,322.43,1392
177,withdrawal,78.28,1057
178,withdrawal,408.78,755
179,deposit,361.88,1299
180,withdrawal,373.98,929
181,withdrawal,410.85,1365
183,deposit,226.41,342
184,deposit,103.48,709
185,withdrawal,269.28,488
186,deposit,258.17,846
187,deposit,181.72,890
188,withdrawal,224.65,610
191,withdrawal,66.63,1310
192,withdrawal,279.22,132
193,withdrawal,401.65,912
194,withdrawal,181.16,1043
195,withdrawal,98.15,1237
196,withdrawal,320.55,479
197,withdrawal,30.89,574
200,deposit,176.63,832
201,deposit,253.14,787
202,withdrawal,47.27,438
204,deposit,276.36,736
205,withdrawal,412.97,995
207,deposit,79.55,26
208,deposit,35.23,151
209,withdrawal,266.37,374
210,deposit,63.76,578
213,withdrawal,217.1,469
214,withdrawal,312.66,276
216,deposit,407.5,143
217,deposit,421.38,168
218,deposit,204.48,1392
219,withdrawal,313.8,1109
220,deposit,477.79,890
221,deposit,425.4,1108
222,withdrawal,80.8,423
223,withdrawal,341.31,16
224,deposit,322.46,1471
225,withdrawal,306.9,285
227,withdrawal,476.38,314
228,deposit,78.04,1244
229,deposit,111.97,1328
230,withdrawal,352.55,843
231,deposit,432.29,296
232,deposit,49.09,1017
233,deposit,64.83,348
235,deposit,122.48,616
236,deposit,177.25,313
237,withdrawal,266.18,11
238,deposit,118.19,651
239,deposit,217.46,247
240,deposit,77.54,1427
241,withdrawal,399.36,829
242,withdrawal,180.71,540
243,withdrawal,164.47,1196
245,withdrawal,174.11,1162
246,withdrawal,378.17,513
247,withdrawal,174.73,88
248,deposit,477.95,1070
250,withdrawal,85.33,1054
251,withdrawal,445.89,33
252,deposit,481.43,8
253,withdrawal,239.09,1209
254,deposit,269.26,1412
255,withdrawal,460.21,248
256,withdrawal,172.12,1146
257,withdrawal,243.54,1380
258,deposit,454.61,810
259,deposit,161.07,1117
260,deposit,365.0,1271
261,withdrawal,88.95,1050
262,deposit,411.8,775
263,deposit,170.94,30
264,deposit,69.89,106
265,deposit,26.87,1467
266,deposit,299.31,365
268,withdrawal,162.0,432
269,deposit,151.28,1452
270,withdrawal,300.94,869
271,withdrawal,380.93,861
272,withdrawal,413.78,118
273,withdrawal,23.87,139
274,withdrawal,241.7,651
275,withdrawal,25.71,830
276,withdrawal,307.91,1232
277,deposit,392.1,1083
279,deposit,346.83,1280
280,deposit,111.3,1324
281,withdrawal,72.82,1499
282,withdrawal,383.12,270
283,deposit,345.01,1287
284,withdrawal,423.27,385
285,deposit,438.4,1267
286,withdrawal,480.48,532
287,deposit,34.64,68
288,withdrawal,130.01,1248
289,withdrawal,243.07,1289
290,deposit,61.85,410
291,withdrawal,185.4,575
292,deposit,201.65,451
293,withdrawal,420.1,591
294,withdrawal,155.91,1315
295,deposit,100.03,1256
297,withdrawal,151.77,609
298,deposit,419.84,1162
299,deposit,185.11,304
300,withdrawal,194.92,1399
301,deposit,63.04,1076
302,withdrawal,229.83,1091
303,withdrawal,437.18,583
304,withdrawal,388.07,1210
306,withdrawal,316.43,661
308,withdrawal,436.38,1132
310,deposit,463.22,730
311,withdrawal,422.89,209
313,deposit,161.43,1148
314,withdrawal,275.86,1311
315,deposit,296.78,869
317,withdrawal,146.72,727
318,withdrawal,93.05,383
320,deposit,425.53,858
321,withdrawal,202.62,1468
322,deposit,239.03,723
323,withdrawal,316.0,173
324,deposit,397.33,15
325,withdrawal,177.82,230
326,withdrawal,288.33,969
327,withdrawal,474.14,178
328,withdrawal,123.46,557
329,deposit,321.25,403
331,deposit,396.48,29
332,withdrawal,184.27,342
333,withdrawal,109.91,14
334,withdrawal,356.6,931
336,withdrawal,128.3,152
337,withdrawal,320.2,1012
338,deposit,275.7,1293
339,withdrawal,174.1,1273
342,withdrawal,487.49,1292
343,deposit,406.15,1008
346,deposit,461.82,243
347,withdrawal,345.59,199
348,deposit,193.47,729
349,withdrawal,229.41,403
350,withdrawal,359.82,1134
351,deposit,456.38,454
352,deposit,295.71,134
355,deposit,133.73,169
359,deposit,375.24,164
360,deposit,35.57,417
361,deposit,254.0,638
362,withdrawal,224.95,56
363,withdrawal,22.8,539
365,deposit,406.71,401
366,withdrawal,305.31,163
367,deposit,263.58,764
368,deposit,23.07,1261
369,deposit,271.41,510
371,deposit,232.37,270
372,withdrawal,468.14,1321
373,deposit,430.09,930
375,withdrawal,303.86,432
376,withdrawal,326.82,381
377,withdrawal,416.18,1275
378,deposit,330.62,320
380,deposit,225.28,976
381,deposit,393.97,867
382,withdrawal,300.97,1423
383,withdrawal,84.42,347
385,withdrawal,334.48,1458
386,withdrawal,332.85,249
387,deposit,389.89,1361
389,withdrawal,48.36,1233
390,deposit,460.77,167
